HH,DAY,TOWN,YEARS,SEX,AGE,STATUS,EDUC,DISABLED,HEAD,SEX_HH,AGE_HH,STATUS_HH,EDUC_HH,DISABLED_HH,AGE_HH_SPOUSE,EDUC_HH_SPOUSE,DISABLED_HH_SPOUSE,HH_SIZE,N_ADULTS,PRIMARY_WS,SUFFICIENT_WATER,TOTAL_TIME,PAY_WATER,TOTAL_COST,ELECTRIC,TOTAL_INCOME,TIME_LENGTH
2,12,0,33,0,55,1,4,0,1,0,55,1,4,0,45,2,0,8,6,2,1,0,1,140,1,NA,47
3,12,0,4,0,27,1,4,0,1,0,27,1,4,0,21,4,0,4,2,3,1,90,1,653.3333333,1,NA,35
4,12,0,30,0,26,2,3,0,1,0,26,2,3,0,27,2,0,9,5,4,1,65,1,600,1,11500,51
5,12,0,24,0,39,1,4,0,1,0,39,1,4,0,36,2,0,6,4,4,1,13,1,360,1,NA,49
6,12,0,20,0,52,2,1,0,1,0,52,2,1,0,51,1,0,6,4,4,1,15,1,100,1,NA,57
7,12,0,8,1,38,5,3,0,1,1,38,5,3,0,9998,9998,9998,4,2,2,1,0,1,NA,1,NA,40
8,13,0,3,0,28,2,4,0,1,0,28,2,4,0,26,4,0,3,2,4,1,14,1,130,1,9882,33
9,13,0,10,0,54,1,4,0,1,0,54,1,4,0,42,3,0,8,4,2,1,0,0,NA,1,NA,33
10,13,0,17,1,59,1,3,0,0,0,68,1,4,0,59,3,0,5,2,2,1,0,1,NA,1,NA,33
11,13,0,4,1,29,0,5,0,1,1,29,0,5,0,9998,9998,9998,2,2,1,1,0,1,NA,1,NA,64
12,13,0,10,0,52,2,4,0,1,0,52,2,4,0,41,4,0,4,3,2,1,0,1,400,1,NA,41
13,13,0,30,0,43,1,4,0,1,0,43,1,4,0,38,2,0,6,4,2,1,0,1,195,1,NA,35
14,13,0,40,1,50,4,1,0,1,1,50,4,1,0,9998,9998,9998,7,1,4,1,11,1,243.3333333,1,NA,34
15,13,0,18,1,36,5,2,0,1,1,36,5,2,0,9998,9998,9998,6,2,1,1,0,0,0,1,NA,45
1,20,0,7,0,56,1,5,0,1,0,56,1,5,0,39,4,0,5,3,2,1,0,1,1200,1,NA,33
2,20,0,12,0,43,1,5,0,1,0,43,1,5,0,38,5,0,5,3,1,0,0,1,930,1,NA,48
3,20,0,8,0,47,1,5,0,1,0,47,1,5,0,38,5,0,5,4,1,0,0,1,630,1,NA,46
4,20,0,10,1,54,5,5,0,1,1,54,5,5,0,9998,9998,9998,4,3,1,0,0,1,2305,1,NA,36
5,20,0,14,0,51,1,1,0,1,0,51,1,1,0,40,1,0,5,4,2,1,0,1,370,1,NA,35
6,20,0,4,0,31,1,4,0,1,0,31,1,4,0,30,4,0,7,4,2,1,0,1,300,1,NA,35
7,20,0,11,0,44,1,2,0,1,0,44,1,2,0,40,1,0,5,4,2,1,0,1,374,1,NA,45
8,20,0,5,0,31,1,4,0,1,0,31,1,4,0,31,4,0,7,3,2,1,0,1,NA,1,NA,41
9,20,0,6,0,58,1,5,0,1,0,58,1,5,0,38,3,0,9,6,2,1,0,1,NA,1,NA,41
10,20,0,4,0,28,2,3,0,1,0,28,2,3,0,21,2,0,4,2,2,1,0,0,0,1,3000,39
11,20,0,10,0,35,1,5,0,1,0,35,1,5,0,30,5,0,4,2,1,0,0,1,2000,1,NA,42
12,20,0,40,1,50,4,1,0,1,1,50,4,1,0,9998,9998,9998,3,3,3,1,25,0,0,1,2250,31
13,20,0,6,0,30,1,4,0,1,0,30,1,4,0,35,4,0,4,2,2,1,0,1,305,1,NA,43
14,20,0,10,0,50,1,4,0,1,0,50,1,4,0,47,3,0,3,3,2,1,0,0,0,1,NA,30
15,20,0,14,0,63,2,2,1,1,0,63,2,2,1,44,2,0,8,4,5,1,0,0,0,1,NA,37
1,8,0,2,0,30,1,4,0,1,0,30,1,4,0,20,3,0,4,2,2,1,0,1,243.3333333,1,4500,65
2,10,0,19,1,32,1,3,0,0,0,35,1,4,0,32,3,0,5,5,2,1,0,1,374,1,NA,39
3,10,0,17,0,36,2,1,0,1,0,36,2,1,0,26,0,0,8,3,3,1,3,1,15,1,1520.833333,32
4,10,0,39,0,47,1,2,0,1,0,47,1,2,0,45,1,0,10,7,5,0,5,0,0,1,NA,45
5,10,0,5,1,23,2,4,0,0,0,30,2,4,0,23,4,0,7,2,4,1,25,1,304.1666667,1,12000,51
6,10,0,15,0,46,1,9999,0,1,0,46,1,9999,0,28,4,0,12,6,2,1,0,1,500,1,NA,45
7,10,0,15,1,45,0,9999,1,1,1,45,0,9999,1,9998,9998,9998,8,6,4,1,3,0,0,1,NA,60
8,10,0,12,0,50,0,3,0,1,0,50,0,3,0,9998,9998,9998,5,1,4,1,17,1,304.1666667,1,NA,47
9,10,0,20,1,46,5,4,0,1,1,46,5,4,0,9998,9998,9998,5,1,3,1,22,1,60.83333333,1,NA,34
10,10,0,3,1,30,1,1,0,0,0,33,1,1,0,30,1,0,8,2,6,1,64,1,304.1666667,1,3000,44
11,10,0,4,0,33,1,3,0,1,0,33,1,3,0,26,1,0,7,2,5,1,12,0,0,1,NA,37
12,10,0,13,0,44,1,2,0,1,0,44,1,2,0,31,3,0,4,2,3,1,45,1,152.0833333,1,NA,37
13,11,0,30,1,49,0,2,0,1,1,49,0,2,0,9998,9998,9998,6,5,2,0,0,1,30,1,13035.71429,54
14,11,0,0.916666667,0,28,1,4,0,1,0,28,1,4,0,23,4,0,5,4,2,1,0,1,304.1666667,1,NA,64
15,11,0,12,0,62,1,1,0,1,0,62,1,1,0,57,1,0,4,1,2,1,0,1,450,1,NA,59
1,10,0,20,1,48,5,1,0,1,1,48,5,1,0,9998,9998,9998,6,4,2,0,0,1,243.3333333,1,3000,51
2,10,0,25,0,47,2,4,0,1,0,47,2,4,0,36,4,0,6,4,6,1,4,0,0,1,4000,41
3,10,0,2,0,27,2,4,0,1,0,27,2,4,0,22,3,0,5,2,3,1,12,1,628.3333333,1,1520.833333,46
4,10,0,20,1,27,1,4,0,0,0,28,1,4,0,27,4,0,4,2,3,1,15,1,608.3333333,1,1520.833333,42
5,10,0,38,0,47,1,4,0,1,0,47,1,4,0,40,9999,0,5,4,5,0,9999,0,0,1,NA,38
6,10,0,52,0,70,1,1,0,1,0,70,1,1,0,51,2,0,5,4,3,1,5,0,0,1,1700,39
7,10,0,7,1,26,1,4,0,0,0,32,1,3,0,26,4,0,7,2,3,1,50,1,547.5,1,NA,50
8,10,0,6,0,9999,1,3,0,1,0,9999,1,3,0,30,2,0,5,1,6,0,3,1,121.6666667,1,NA,36
9,10,0,9,0,32,0,5,0,1,0,32,0,5,0,9998,9998,9998,3,3,2,0,0,1,456.25,1,NA,54
10,11,0,21,0,45,3,4,0,1,0,45,3,4,0,9998,9998,9998,10,4,6,1,9,0,0,1,NA,49
11,11,0,9999,0,82,1,0,0,1,0,82,1,0,0,9999,0,0,3,1,6,1,0,0,0,0,NA,39
12,11,0,39,0,48,1,1,0,1,0,48,1,1,0,47,2,0,5,3,6,1,3,1,182.5,1,NA,57
13,11,0,15,0,34,1,4,0,1,0,34,1,4,0,39,4,0,6,5,2,1,0,1,30,1,NA,40
14,11,0,12,0,9999,1,9999,0,1,0,9999,1,9999,0,30,3,0,7,5,2,1,0,1,304.1666667,1,1520.833333,60
15,11,0,4,0,22,1,4,0,1,0,22,1,4,0,25,4,0,5,2,2,1,0,1,319.1666667,1,NA,53
1,10,0,5,1,45,5,1,0,1,1,45,5,1,0,9998,9998,9998,5,3,6,1,8,0,0,1,NA,35
2,10,0,6,1,30,2,2,0,0,0,35,2,4,0,30,2,0,3,2,2,1,0,1,275,1,6200,48
3,10,0,9,0,50,2,1,0,1,0,50,2,1,0,55,1,0,6,6,2,0,0,1,100,0,NA,43
4,10,0,20,0,49,2,4,0,1,0,49,2,4,0,40,3,0,6,5,3,1,5,1,200,1,NA,40
5,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,11,0,1,0,29,1,5,0,1,0,29,1,5,0,27,5,0,6,3,2,0,0,1,60.83333333,1,30000,49
7,11,0,15,0,28,2,4,0,1,0,28,2,4,0,24,3,0,6,3,5,1,0,1,374,1,7500,34
8,11,0,4,0,36,0,4,0,1,0,36,0,4,0,9998,9998,9998,4,2,1,1,0,0,0,1,NA,45
9,11,0,20,1,50,1,0,0,0,0,54,1,1,0,50,0,0,7,5,1,1,0,1,130,1,NA,42
10,11,0,5,0,69,1,1,0,1,0,69,1,1,0,36,0,0,6,2,3,1,3,0,0,1,NA,50
11,11,0,10,1,30,1,4,0,0,0,40,1,4,0,30,4,0,5,2,2,1,0,1,150,1,1800,54
12,11,0,14,0,52,1,4,0,1,0,52,1,4,0,40,2,0,4,2,3,1,3,1,182.5,1,15208.33333,47
13,11,0,4,0,30,1,3,0,1,0,30,1,3,0,32,1,0,4,3,6,1,5,0,0,1,NA,39
14,11,0,25,0,55,2,3,1,1,0,55,2,3,1,48,3,1,7,5,3,1,61,0,0,1,NA,54
15,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,0,0.166666667,0,29,1,4,0,1,0,29,1,4,0,18,2,0,6,3,3,1,15,1,243.3333333,1,NA,35
2,8,0,66,0,86,1,0,0,1,0,86,1,0,0,65,0,0,7,2,2,1,0,1,515,1,NA,49
3,8,0,36,0,61,1,1,0,1,0,61,1,1,0,56,1,0,5,2,5,1,4,1,0,1,3000,40
4,8,0,14,0,43,1,1,0,1,0,43,1,1,0,36,1,0,7,4,3,1,11,0,0,1,NA,50
5,8,0,8,0,42,1,4,0,1,0,42,1,4,0,38,3,0,9,5,2,1,0,1,400,1,NA,50
6,8,0,25,0,9999,1,1,0,1,0,9999,1,1,0,9999,9999,0,6,2,5,1,5,1,182.5,0,869.047619,63
7,8,0,35,0,84,1,4,0,1,0,84,1,4,0,54,1,1,6,2,1,1,0,1,375,1,2000,45
8,10,0,40,1,37,0,4,1,1,1,37,0,4,1,9998,9998,9998,6,2,3,1,20,1,273.75,0,500,60
9,10,0,4,0,9999,2,4,0,1,0,9999,2,4,0,9999,4,0,8,1,5,1,3,1,131.6666667,1,5000,45
10,10,0,17,0,49,1,3,0,1,0,49,1,3,0,39,1,0,8,5,2,1,0,1,152.0833333,1,NA,52
11,10,0,2,1,62,5,0,0,1,1,62,5,0,0,9998,9998,9998,7,5,2,1,0,1,86.9047619,1,2000,36
12,10,0,20,1,24,4,2,0,1,1,24,4,2,0,9998,9998,9998,3,1,2,1,0,0,0,1,NA,60
13,10,0,21,1,45,4,3,0,1,1,45,4,3,0,9998,9998,9998,5,3,2,1,0,1,65.17857143,1,3041.666667,36
14,10,0,20,0,60,1,0,0,1,0,60,1,0,0,42,0,0,5,2,2,1,0,1,250,1,NA,48
15,10,0,7,0,23,2,4,0,1,0,23,2,4,0,22,2,0,6,3,6,0,10,1,608.3333333,1,1000,86
1,20,0,14,1,40,0,4,0,0,0,56,4,4,0,9998,9998,9998,5,4,2,1,0,1,0,1,NA,48
2,20,0,1,1,19,0,3,0,0,0,22,0,3,0,9998,9998,9998,5,3,6,1,9,1,91.25,0,NA,30
3,20,0,16,0,28,1,4,0,1,0,28,1,4,0,23,4,0,8,7,6,1,40,1,260,1,NA,43
4,20,0,10,0,64,2,4,0,1,0,64,2,4,0,39,4,0,5,2,2,1,0,1,605,1,34000,32
5,20,0,7,0,28,2,4,0,1,0,28,2,4,0,28,4,0,3,2,2,0,0,1,1000,1,14750,32
6,20,0,14,0,54,1,4,0,1,0,54,1,4,0,47,4,0,9,5,1,1,0,1,2420,1,96200,30
7,20,0,7,1,42,0,4,0,1,1,42,0,4,0,9998,9998,9998,6,2,4,1,12,1,120,0,NA,50
8,20,0,10,0,50,2,4,0,1,0,50,2,4,0,38,1,0,3,2,3,1,22,1,210,1,NA,33
9,20,0,17,0,42,1,4,0,1,0,42,1,4,0,39,4,0,7,5,2,1,0,1,NA,1,NA,30
10,20,0,22,0,22,0,3,0,1,0,22,0,3,0,9998,9998,9998,5,3,4,1,34,1,60.83333333,0,NA,44
11,20,0,17,0,27,2,4,0,1,0,27,2,4,0,24,4,0,8,7,4,1,40,1,NA,1,NA,41
12,20,0,17,0,9999,1,4,1,1,0,9999,1,4,1,34,1,0,6,2,4,1,4,1,182.5,1,7041.666667,43
13,20,0,0.75,0,9999,2,3,0,1,0,9999,2,3,0,28,1,0,4,1,4,1,4,1,152.0833333,1,NA,30
14,20,0,20,0,51,1,2,0,1,0,51,1,2,0,46,1,1,15,4,2,1,0,0,0,1,NA,43
15,20,0,16,0,56,4,4,0,1,0,56,4,4,0,9998,9998,9998,5,4,2,1,0,1,NA,1,NA,55
1,22,0,15,1,45,3,5,0,1,1,45,3,5,0,9998,9998,9998,5,2,1,1,0,1,961,1,NA,38
2,22,0,19,0,40,1,4,0,1,0,40,1,4,0,39,3,0,4,4,2,1,0,1,0,1,NA,40
3,22,0,9,0,32,0,4,0,1,0,32,0,4,0,9998,9998,9998,4,4,2,1,0,1,200,1,NA,45
4,22,0,24,0,58,2,5,0,1,0,58,2,5,0,NA,NA,NA,3,3,2,1,0,1,NA,1,NA,30
5,22,0,4,0,45,1,3,0,1,0,45,1,3,0,40,4,0,5,3,2,1,0,0,0,1,NA,45
6,22,0,5,0,48,1,4,0,1,0,48,1,4,0,45,5,0,7,4,2,1,0,1,325,1,NA,31
7,22,0,20,0,58,2,5,0,1,0,58,2,5,0,NA,NA,NA,4,3,2,1,0,1,265,1,NA,33
8,22,0,17,1,38,1,2,0,0,0,45,1,3,0,38,2,0,6,3,6,1,3,0,0,1,NA,33
9,22,0,9999,0,51,1,2,1,1,0,51,1,2,1,38,2,0,8,5,4,1,15,0,0,1,NA,35
10,22,0,6,0,40,1,4,0,1,0,40,1,4,0,36,4,0,6,3,2,1,0,0,0,1,NA,44
11,22,0,5,0,40,1,4,0,1,0,40,1,4,0,37,4,0,7,4,3,1,9999,1,NA,1,NA,34
12,22,0,20,0,87,5,4,1,1,0,87,5,4,1,9998,9998,9998,2,1,2,1,0,1,605,1,NA,47
13,22,0,24,0,46,1,3,0,1,0,46,1,3,0,39,2,0,6,4,4,1,4,0,0,1,NA,30
14,22,0,3,1,39,0,4,0,1,1,39,0,4,0,9998,9998,9998,5,5,4,1,0,0,0,1,NA,39
15,22,0,8,0,60,1,4,0,1,0,60,1,4,0,47,4,0,6,2,2,1,0,1,650,1,NA,33
1,10,0,4,0,30,2,9999,0,1,0,30,2,9999,0,26,4,0,3,2,2,1,0,1,141,1,NA,53
2,14,0,5,0,39,2,4,0,1,0,39,2,4,0,28,2,0,5,2,6,1,5,1,152.0833333,1,NA,31
3,14,0,5,1,29,4,3,0,1,1,29,4,3,0,9998,9998,9998,3,1,2,1,0,1,190,1,NA,35
4,14,0,9,0,53,2,3,0,1,0,53,2,3,0,25,3,0,5,2,2,1,0,0,0,0,210,36
5,14,0,5,0,39,2,4,0,1,0,39,2,4,0,27,3,0,2,2,2,1,0,1,0,1,NA,54
6,14,0,30,1,47,5,0,0,1,1,47,5,0,0,9998,9998,9998,5,2,NA,1,NA,0,0,1,NA,36
7,14,0,0.166666667,1,26,0,4,0,1,1,26,0,4,0,9998,9998,9998,3,2,4,1,140,0,0,0,NA,35
8,14,0,6,0,9999,2,9999,0,1,0,9999,2,9999,0,58,1,0,12,4,6,0,0,0,0,1,NA,32
9,14,0,7,1,29,1,3,0,0,0,34,1,3,0,29,3,0,6,2,6,1,9999,1,0,1,NA,36
10,14,0,14,1,27,2,2,0,0,0,9999,2,3,0,27,2,0,5,2,6,1,33,1,182.5,0,2000,30
11,14,0,7,0,33,1,4,0,1,0,33,1,4,0,30,4,0,4,2,2,1,0,1,240,1,NA,35
12,14,0,20,0,55,2,4,0,1,0,55,2,4,0,43,4,0,5,4,1,1,0,0,0,1,NA,37
13,14,0,10,0,36,2,2,0,1,0,36,2,2,0,21,1,0,4,2,2,1,0,0,0,1,3000,39
14,14,0,13,0,58,2,1,0,1,0,58,2,1,0,38,1,0,5,2,3,1,57,0,0,0,1200,40
15,14,0,5,0,38,1,3,0,1,0,38,1,3,0,24,2,0,3,2,2,1,0,1,140,1,NA,40
1,14,0,0.123287671,1,37,1,3,0,0,0,39,1,9999,0,37,3,0,8,6,4,0,120,1,NA,1,NA,41
2,14,0,14,0,75,1,1,0,1,0,75,1,1,0,60,1,0,3,NA,2,1,0,1,141,1,NA,48
3,14,0,10,0,38,2,3,0,1,0,38,2,3,0,33,3,0,5,3,2,1,0,1,20,1,NA,41
4,14,0,10,0,38,2,2,0,1,0,38,2,2,0,27,2,0,6,3,4,0,110,1,1800,1,NA,35
5,14,0,14,0,39,2,4,0,1,0,39,2,4,0,33,4,0,4,2,4,0,120,1,NA,1,NA,33
6,14,0,6,0,37,2,3,0,1,0,37,2,3,0,32,4,0,5,2,2,1,0,1,180,1,NA,30
7,14,0,9,0,35,1,3,0,1,0,35,1,3,0,38,2,0,6,2,2,1,0,1,304.1666667,1,NA,67
8,14,0,8,0,32,4,4,0,1,0,32,4,4,0,9998,9998,9998,3,1,2,1,0,1,160,1,NA,46
9,14,0,7,0,30,2,4,0,1,0,30,2,4,0,26,4,0,3,3,3,1,100,0,0,1,NA,55
10,14,0,7,0,32,1,5,0,1,0,32,1,5,0,28,4,0,4,2,4,1,22,1,140,1,NA,30
1,15,0,5,0,31,2,2,0,1,0,31,2,2,0,24,1,0,6,2,2,1,0,0,0,1,2000,36
2,15,0,11,1,26,2,4,0,0,0,30,2,4,0,26,4,0,7,3,4,1,50,1,NA,1,NA,42
3,15,0,4,0,43,1,2,0,1,0,43,1,2,0,26,1,0,6,4,6,1,5,1,304.1666667,1,NA,45
4,15,0,10,0,53,1,2,0,1,0,53,1,2,0,43,0,0,5,2,6,1,3,1,243.3333333,1,NA,50
5,15,0,12,0,37,2,4,0,1,0,37,2,4,0,30,3,0,6,2,4,1,24,0,0,1,NA,39
6,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,15,0,5,0,37,2,3,0,1,0,37,2,3,0,33,1,0,3,2,4,1,5,0,0,1,NA,43
8,15,0,14,0,29,2,3,0,1,0,29,2,3,0,NA,NA,NA,5,3,4,1,45,0,0,1,NA,40
9,15,0,2,0,29,0,4,0,1,0,29,0,4,0,9998,9998,9998,2,2,6,1,6,1,60.83333333,1,NA,48
10,15,0,18,1,NA,NA,NA,NA,NA,0,9999,1,9999,0,NA,NA,NA,8,3,6,1,9999,1,91.25,1,NA,47
11,15,0,30,0,52,1,1,0,1,0,52,1,1,0,43,1,0,7,3,6,1,3,1,136.6666667,1,NA,60
12,15,0,8,0,45,2,3,0,1,0,45,2,3,0,35,2,0,7,4,2,1,0,0,0,1,NA,31
13,15,0,7,1,NA,NA,NA,NA,NA,0,35,2,4,0,NA,NA,NA,4,2,4,1,35,1,608.3333333,1,NA,32
14,15,0,17,0,49,1,4,0,1,0,49,1,4,0,32,2,0,8,3,4,1,12,1,900,1,NA,47
15,15,0,5,0,39,2,4,0,1,0,39,2,4,0,35,4,0,5,3,4,1,40,1,608.3333333,1,NA,32
1,17,0,20,0,55,1,4,0,1,0,55,1,4,0,50,3,0,5,5,1,0,0,1,3500,1,75000,30
2,17,0,27,0,46,1,4,0,1,0,46,1,4,0,43,4,0,5,4,2,1,0,1,3100,1,8750,60
3,17,0,4,1,21,2,3,0,0,0,27,2,3,0,21,3,0,4,2,2,1,0,1,179,1,NA,44
4,17,0,0.04109589,0,33,1,5,0,1,0,33,1,5,0,31,3,0,4,2,4,0,3,0,0,1,NA,47
5,17,0,4,1,23,2,3,0,0,0,29,2,3,0,23,3,0,4,2,4,1,20,1,60.83333333,1,NA,40
6,17,0,4,1,26,2,3,0,0,0,27,2,4,0,26,3,0,3,2,4,1,24,1,NA,1,NA,55
7,17,0,3,0,25,2,3,0,1,0,25,2,3,0,22,3,0,3,2,4,1,20,1,608.3333333,1,NA,30
8,17,0,10,0,39,1,4,0,1,0,39,1,4,0,34,4,0,6,3,2,1,0,1,NA,1,NA,45
9,17,0,20,0,20,1,4,0,1,0,20,1,4,0,20,4,0,8,5,4,1,11,1,456.25,1,NA,33
10,17,0,6,0,28,2,4,0,1,0,28,2,4,0,23,3,0,5,2,4,1,7,1,243.3333333,1,NA,32
11,17,0,5,0,29,2,4,0,1,0,29,2,4,0,23,3,0,4,2,4,1,11,1,304.1666667,1,NA,40
12,17,0,5,0,29,2,4,0,1,0,29,2,4,0,27,4,0,5,2,3,0,32,1,360,1,NA,35
13,17,0,5,0,38,1,3,0,1,0,38,1,3,0,30,3,0,7,4,4,1,9,1,200,1,NA,30
14,17,0,5,0,26,1,4,0,1,0,26,1,4,0,26,4,0,5,2,4,0,40,0,0,1,NA,50
15,17,0,12,1,30,1,1,0,0,0,35,1,3,0,30,1,0,5,2,4,1,20,1,60.83333333,1,NA,47
1,15,0,4,1,35,1,4,0,0,0,37,1,4,0,35,4,0,5,2,2,1,0,1,185,1,NA,40
2,15,0,10,0,9999,2,9999,1,1,0,9999,2,9999,1,9999,0,0,6,NA,4,1,14,0,0,1,NA,46
3,15,0,12,1,9999,2,1,0,0,0,9999,2,9999,0,9999,1,0,3,NA,4,1,140,0,0,1,NA,34
4,15,0,18,0,9999,1,2,0,1,0,9999,1,2,0,NA,NA,NA,7,3,6,1,3,0,0,1,NA,39
5,15,0,6,1,25,1,9999,0,0,0,42,1,9999,0,25,9999,0,6,4,6,1,6,0,0,1,NA,40
6,15,0,10,0,49,1,4,0,1,0,49,1,4,0,38,9999,0,7,2,4,1,37,1,360,1,NA,35
7,15,0,20,0,63,1,4,0,1,0,63,1,4,0,48,2,0,3,2,3,1,24,1,360,1,11342,46
8,15,0,7,0,50,2,3,0,1,0,50,2,3,0,28,3,0,5,2,2,1,0,1,50,0,NA,37
9,15,0,10,0,45,2,3,0,1,0,45,2,3,0,22,2,0,6,3,2,1,0,0,0,1,7500,45
10,15,0,5,0,40,1,4,0,1,0,40,1,4,0,38,4,0,6,4,2,1,0,0,0,1,NA,33
11,15,0,1,0,53,1,4,0,1,0,53,1,4,0,45,4,0,7,4,6,1,5,1,304.1666667,1,NA,36
12,15,0,10,1,53,5,0,0,1,1,53,5,0,0,9998,9998,9998,5,3,6,1,11,1,304.1666667,1,NA,45
13,15,0,18,1,40,1,4,0,0,0,45,1,2,0,40,4,0,7,5,6,1,0,0,0,1,NA,53
14,15,0,5,1,NA,NA,NA,NA,NA,0,37,1,4,0,NA,NA,NA,7,5,4,1,3,1,NA,1,NA,37
15,15,0,4,0,40,1,3,0,1,0,40,1,3,0,29,2,0,4,2,6,1,9999,1,180,1,NA,36
1,13,0,10,0,40,1,2,0,1,0,40,1,2,0,38,0,0,6,2,2,1,0,1,150,1,NA,32
2,17,0,9,0,30,4,4,0,1,0,30,4,4,0,9998,9998,9998,3,1,3,1,12,1,500,0,2000,31
3,17,0,5,1,27,2,3,0,0,0,32,2,4,0,27,3,0,4,2,4,1,18,1,608.3333333,1,NA,35
4,17,0,4,1,27,2,4,0,0,0,29,2,3,0,27,4,0,4,2,6,1,60,1,608.3333333,1,NA,35
5,17,0,3,1,29,2,3,0,0,0,32,2,4,0,29,3,0,5,2,6,1,50,1,456.25,1,NA,39
6,17,0,8,1,52,5,0,0,1,1,52,5,0,0,9998,9998,9998,5,5,4,1,7,0,0,1,NA,31
7,17,0,7,0,30,1,4,0,1,0,30,1,4,0,28,3,0,6,3,4,1,11,1,456.25,1,NA,31
8,17,0,20,0,43,1,2,0,1,0,43,1,2,0,30,1,0,7,3,4,1,7,1,182.5,1,NA,42
9,17,0,10,0,42,2,4,0,1,0,42,2,4,0,39,4,0,6,5,2,1,0,1,373,1,NA,46
10,17,0,40,1,50,5,1,0,1,1,50,5,1,0,9998,9998,9998,3,3,3,1,9999,1,60.83333333,0,1500,30
11,17,0,7,0,42,1,2,0,1,0,42,1,2,0,35,1,0,7,3,4,1,5,0,0,1,NA,35
12,17,0,1,0,38,1,4,0,1,0,38,1,4,0,28,4,0,5,3,4,0,21,1,91.25,1,NA,60
13,17,0,3,1,29,2,3,0,0,0,31,2,3,0,29,3,0,3,2,2,1,0,1,0,1,NA,33
14,17,0,1,1,29,4,3,0,1,1,29,4,3,0,9998,9998,9998,2,1,2,1,0,1,197,1,NA,45
15,17,0,5,1,25,2,3,0,0,0,29,2,4,0,25,3,0,4,2,4,1,40,1,NA,1,NA,40
1,16,0,26,0,44,1,1,0,1,0,44,1,1,0,35,2,0,4,4,6,1,9999,1,60.83333333,1,NA,50
2,16,0,4,1,23,2,4,0,0,0,27,2,4,0,23,4,0,3,2,3,1,35,1,30.41666667,1,NA,33
3,16,0,10,0,44,1,5,1,1,0,44,1,5,1,39,4,0,3,3,2,1,0,1,1500,1,35000,47
4,16,0,30,1,52,5,1,0,1,1,52,5,1,0,9998,9998,9998,4,4,3,1,40,0,0,0,3500,30
5,16,0,20,0,53,1,1,0,1,0,53,1,1,0,49,9999,0,4,3,3,1,25,1,300,1,NA,37
6,16,0,10,0,37,2,5,0,1,0,37,2,5,0,30,4,0,5,3,1,1,0,1,433,1,45700,43
7,16,0,10,0,54,1,1,0,1,0,54,1,1,0,42,0,0,5,3,3,1,61,1,304.1666667,1,NA,33
8,16,0,6,0,42,2,3,0,1,0,42,2,3,0,NA,NA,NA,5,4,6,1,35,1,608.3333333,1,NA,35
9,16,0,24,0,44,2,1,0,1,0,44,2,1,0,35,2,0,8,5,6,1,60,1,30,1,NA,37
10,16,0,1,0,29,1,4,0,1,0,29,1,4,0,26,4,0,5,2,5,1,3,1,60.83333333,1,15000,46
11,16,0,5,0,42,1,0,0,1,0,42,1,0,0,36,1,0,6,3,4,1,26,1,60.83333333,1,10000,37
12,16,0,7,0,39,2,4,0,1,0,39,2,4,0,37,3,0,4,2,6,1,60,1,608.3333333,1,NA,44
13,16,0,9,0,30,1,4,0,1,0,30,1,4,0,25,3,0,5,2,3,1,11,1,608.3333333,1,3500,40
14,16,0,4,0,29,0,2,0,1,0,29,0,2,0,9998,9998,9998,2,2,3,1,31,1,304.1666667,1,NA,31
15,16,0,6,1,34,2,4,0,0,0,36,2,4,0,34,4,0,4,2,3,1,29,1,60.83333333,1,NA,32
1,10,0,2,0,24,2,3,0,1,0,24,2,3,0,23,2,0,6,3,4,0,70,1,304.1666667,1,NA,54
2,14,0,4,0,34,1,5,0,1,0,34,1,5,0,27,5,0,4,3,6,1,5,1,623.3333333,1,NA,67
3,15,0,20,0,45,1,4,0,1,0,45,1,4,0,39,4,1,11,5,6,0,3,1,25,1,NA,35
4,15,0,4,0,40,1,5,0,1,0,40,1,5,0,30,4,0,6,3,2,1,0,1,400,1,22000,31
5,15,0,4,1,27,2,4,0,0,0,32,2,4,0,27,4,0,4,2,2,1,0,1,NA,1,NA,50
6,15,0,7,1,43,5,4,0,1,1,43,5,4,0,9998,9998,9998,2,1,2,1,0,1,155,1,NA,39
7,15,0,14,0,38,2,3,0,1,0,38,2,3,0,33,1,0,5,3,2,0,0,1,150,1,5000,43
8,15,0,0.5,1,28,4,4,0,1,1,28,4,4,0,9998,9998,9998,4,1,4,1,2,1,182.5,1,8000,31
9,15,0,4,0,42,2,4,0,1,0,42,2,4,0,39,4,0,4,3,4,1,23,1,0,1,NA,41
10,15,0,8,1,42,0,1,0,1,1,42,0,1,0,9998,9998,9998,2,2,4,1,35,1,240,1,NA,44
11,16,0,7,0,36,1,3,0,1,0,36,1,3,0,NA,NA,NA,7,3,4,1,9,0,0,1,NA,33
